aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,crecimiento_mm,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen
HC16,maceracion,Grupo 1 - H4,2,0.2,40.0,75.86206896551724,17.69517737740307,False,MACERACIÓN,22
HC16,maceracion,Grupo 1 - H4,3,0.2,42.0,65.51724137931035,,False,MACERACIÓN,23
HC17,maceracion,Grupo 3 - H21,1,0.2,60.0,81.33333333333333,75.1111111111111,False,MACERACIÓN,24
HC17,maceracion,Grupo 3 - H21,2,0.2,60.0,65.33333333333333,8.572134009771517,False,MACERACIÓN,25
HC17,maceracion,Grupo 3 - H21,3,0.2,56.0,78.66666666666667,,False,MACERACIÓN,26
HC19,maceracion,Grupo 1 - H5,1,0.2,50.0,69.56521739130434,63.76811594202898,False,MACERACIÓN,27
HC19,maceracion,Grupo 1 - H5,2,0.2,50.0,69.56521739130434,10.040874246776138,False,MACERACIÓN,28
HC19,maceracion,Grupo 1 - H5,3,0.2,44.0,52.17391304347826,,False,MACERACIÓN,29
HC20,maceracion,Grupo 1 - H6,1,0.2,46.0,65.21739130434783,62.31884057971015,False,MACERACIÓN,30
HC20,maceracion,Grupo 1 - H6,2,0.2,42.0,65.21739130434783,5.020437123388052,False,MACERACIÓN,31
HC20,maceracion,Grupo 1 - H6,3,0.2,40.0,56.52173913043478,,False,MACERACIÓN,32
HC23,maceracion,Grupo 1 - H7,1,0.2,60.0,100.0,81.60919540229885,False,MACERACIÓN,33
HC23,maceracion,Grupo 1 - H7,2,0.2,44.0,79.3103448275862,17.35594123050743,False,MACERACIÓN,34
HC23,maceracion,Grupo 1 - H7,3,0.2,58.0,65.51724137931035,,False,MACERACIÓN,35
HC26,maceracion,Grupo 3 - H22,1,0.2,,100.0,100.0,False,MACERACIÓN,36
HC26,maceracion,Grupo 3 - H22,2,0.2,,100.0,0.0,False,MACERACIÓN,37
HC26,maceracion,Grupo 3 - H22,3,0.2,,100.0,,False,MACERACIÓN,38
HC27,maceracion,Grupo 1 - H8,1,0.2,54.0,72.0,70.66666666666667,False,MACERACIÓN,39
HC27,maceracion,Grupo 1 - H8,2,0.2,52.0,68.0,2.3094010767585034,False,MACERACIÓN,40
HC27,maceracion,Grupo 1 - H8,3,0.2,50.0,72.0,,False,MACERACIÓN,41
HC28,maceracion,Grupo 1 - H9,1,0.2,52.0,100.0,100.0,False,MACERACIÓN,42
HC28,maceracion,Grupo 1 - H9,2,0.2,50.0,100.0,0.0,False,MACERACIÓN,43
HC28,maceracion,Grupo 1 - H9,3,0.2,46.0,100.0,,False,MACERACIÓN,44
H4B,maceracion,Grupo 4 - H29,1,0.2,54.0,100.0,93.13725490196077,False,MACERACIÓN,45
H4B,maceracion,Grupo 4 - H29,2,0.2,56.0,100.0,11.886623189198318,False,MACERACIÓN,46
H4B,maceracion,Grupo 4 - H29,3,0.2,50.0,79.41176470588235,,False,MACERACIÓN,47
H6B,maceracion,Grupo 4 - H30,1,0.2,56.0,100.0,92.82051282051282,False,MACERACIÓN,48
H6B,maceracion,Grupo 4 - H30,2,0.2,54.0,100.0,12.435236567161278,False,MACERACIÓN,49
H6B,maceracion,Grupo 4 - H30,3,0.2,58.0,78.46153846153847,,False,MACERACIÓN,50
H4G,maceracion,Grupo 4 - H31,1,0.2,58.0,100.0,91.35802469135803,False,MACERACIÓN,51
H4G,maceracion,Grupo 4 - H31,2,0.2,50.0,100.0,14.968340312323647,False,MACERACIÓN,52
H4G,maceracion,Grupo 4 - H31,3,0.2,54.0,74.07407407407408,,False,MACERACIÓN,53
H8G,maceracion,Grupo 4 - H32,1,0.2,30.0,100.0,100.0,False,MACERACIÓN,54
H8G,maceracion,Grupo 4 - H32,2,0.2,30.0,100.0,0.0,False,MACERACIÓN,55
H8G,maceracion,Grupo 4 - H32,3,0.2,32.0,100.0,,False,MACERACIÓN,56
H11G,maceracion,Grupo 4 - H33,1,0.2,30.0,100.0,100.0,False,MACERACIÓN,57
H11G,maceracion,Grupo 4 - H33,2,0.2,30.0,100.0,0.0,False,MACERACIÓN,58
H11G,maceracion,Grupo 4 - H33,3,0.2,30.0,100.0,,False,MACERACIÓN,59
H1N,maceracion,Grupo 2 - H10,1,0.2,50.0,68.0,62.666666666666664,False,MACERACIÓN,60
H1N,maceracion,Grupo 2 - H10,2,0.2,50.0,76.0,16.653327995729054,False,MACERACIÓN,61
H1N,maceracion,Grupo 2 - H10,3,0.2,50.0,44.0,,False,MACERACIÓN,62
H2N,maceracion,Grupo 2 - H11,1,0.2,48.0,55.55555555555556,69.1358024691358,False,MACERACIÓN,63
H2N,maceracion,Grupo 2 - H11,2,0.2,40.0,74.07407407407408,11.905741680238263,False,MACERACIÓN,64
H2N,maceracion,Grupo 2 - H11,3,0.2,50.0,77.77777777777777,,False,MACERACIÓN,65
